threshold,precision,recall,f1
79.39790344238281,0.75,1.0,0.8571428571428571
82.01879944464173,0.6666666666666666,0.6666666666666666,0.6666666666666666
84.63969544690065,0.6666666666666666,0.6666666666666666,0.6666666666666666
87.26059144915956,0.5,0.3333333333333333,0.4
89.88148745141848,0.5,0.3333333333333333,0.4
92.5023834536774,0.5,0.3333333333333333,0.4
95.12327945593631,0.5,0.3333333333333333,0.4
97.74417545819523,0.0,0.0,0.0
100.36507146045415,0.0,0.0,0.0
102.98596746271306,0.0,0.0,0.0
105.60686346497198,0.0,0.0,0.0
108.2277594672309,0.0,0.0,0.0
110.84865546948981,0.0,0.0,0.0
113.46955147174873,0.0,0.0,0.0
116.09044747400765,0.0,0.0,0.0
118.71134347626656,0.0,0.0,0.0
121.33223947852548,0.0,0.0,0.0
123.9531354807844,0.0,0.0,0.0
126.57403148304331,0.0,0.0,0.0
129.19492748530223,0.0,0.0,0.0
131.81582348756115,0.0,0.0,0.0
134.43671948982006,0.0,0.0,0.0
137.05761549207898,0.0,0.0,0.0
139.6785114943379,0.0,0.0,0.0
142.2994074965968,0.0,0.0,0.0
144.92030349885573,0.0,0.0,0.0
147.54119950111465,0.0,0.0,0.0
150.16209550337356,0.0,0.0,0.0
152.78299150563248,0.0,0.0,0.0
155.4038875078914,0.0,0.0,0.0
158.02478351015031,0.0,0.0,0.0
160.64567951240923,0.0,0.0,0.0
163.26657551466815,0.0,0.0,0.0
165.88747151692706,0.0,0.0,0.0
168.50836751918598,0.0,0.0,0.0
171.1292635214449,0.0,0.0,0.0
173.75015952370381,0.0,0.0,0.0
176.37105552596273,0.0,0.0,0.0
178.99195152822165,0.0,0.0,0.0
181.61284753048056,0.0,0.0,0.0
184.23374353273948,0.0,0.0,0.0
186.8546395349984,0.0,0.0,0.0
189.47553553725731,0.0,0.0,0.0
192.09643153951623,0.0,0.0,0.0
194.71732754177515,0.0,0.0,0.0
197.33822354403407,0.0,0.0,0.0
199.95911954629298,0.0,0.0,0.0
202.5800155485519,0.0,0.0,0.0
205.20091155081084,0.0,0.0,0.0
207.82180755306976,0.0,0.0,0.0
210.44270355532868,0.0,0.0,0.0
213.0635995575876,0.0,0.0,0.0
215.6844955598465,0.0,0.0,0.0
218.30539156210543,0.0,0.0,0.0
220.92628756436434,0.0,0.0,0.0
223.54718356662326,0.0,0.0,0.0
226.16807956888218,0.0,0.0,0.0
228.7889755711411,0.0,0.0,0.0
231.4098715734,0.0,0.0,0.0
234.03076757565893,0.0,0.0,0.0
236.65166357791784,0.0,0.0,0.0
239.27255958017676,0.0,0.0,0.0
241.89345558243568,0.0,0.0,0.0
244.5143515846946,0.0,0.0,0.0
247.1352475869535,0.0,0.0,0.0
249.75614358921243,0.0,0.0,0.0
252.37703959147134,0.0,0.0,0.0
254.99793559373026,0.0,0.0,0.0
257.61883159598915,0.0,0.0,0.0
260.2397275982481,0.0,0.0,0.0
262.860623600507,0.0,0.0,0.0
265.48151960276596,0.0,0.0,0.0
268.1024156050248,0.0,0.0,0.0
270.7233116072838,0.0,0.0,0.0
273.34420760954265,0.0,0.0,0.0
275.9651036118016,0.0,0.0,0.0
278.5859996140605,0.0,0.0,0.0
281.20689561631946,0.0,0.0,0.0
283.8277916185783,0.0,0.0,0.0
286.4486876208373,0.0,0.0,0.0
289.06958362309615,0.0,0.0,0.0
291.6904796253551,0.0,0.0,0.0
294.311375627614,0.0,0.0,0.0
296.93227162987296,0.0,0.0,0.0
299.5531676321318,0.0,0.0,0.0
302.1740636343908,0.0,0.0,0.0
304.79495963664965,0.0,0.0,0.0
307.4158556389086,0.0,0.0,0.0
310.0367516411675,0.0,0.0,0.0
312.65764764342646,0.0,0.0,0.0
315.2785436456853,0.0,0.0,0.0
317.8994396479443,0.0,0.0,0.0
320.52033565020315,0.0,0.0,0.0
323.1412316524621,0.0,0.0,0.0
325.762127654721,0.0,0.0,0.0
328.38302365697996,0.0,0.0,0.0
331.0039196592389,0.0,0.0,0.0
333.6248156614978,0.0,0.0,0.0
336.2457116637567,0.0,0.0,0.0
338.8666076660156,0.0,0.0,0.0
